Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Negative,Configuration settings window,CPR-21,Setting Probe 1 units to Celsius  when Probe Selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Try to set Units for Probe 1",Should not able to set Units for Probe 1,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-22,Setting Probe 1 units to Fahrenheit  when Probe Selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Choose Temperature under Configuration -> Set Units  as Fahrenheit - >Save Configuration",TBD,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-23,Setting Probe 1 units to Celsius  when Probe Selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Choose Temperature under Configuration -> Set Units  as Fahrenheit - >Save Configuration",TBD,,,,,,,PASS,,
,Negative,Configuration settings window,CPR-24,Setting Probe 1 units to Celsius  when Probe Selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Try to set Units for Probe 1",Should not able to set Units for Probe 1,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-25,Setting Probe 2 units to Celsius  when Probe Selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Choose Temperature under Configuration -> Set Units  as Celsius - >Save Configuration",TBD,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-26,Setting Probe 2 units to Celsius  when Probe Selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Choose Temperature under Configuration -> Set Units  as Celsius - >Save Configuration",TBD,,,,,,,PASS,,
,Negative,Configuration settings window,CPR-27,Setting Probe 2 units to Celsius  when Probe Selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Try to set Units for Probe 2",Should not able to set Units for Probe 2,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-28,Setting Probe 2 units to Fahrenheit  when Probe Selection set to Probe 2 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 2 Only under Probe Selection -> Choose Temperature under Configuration -> Set Units  as Fahrenheit - >Save Configuration",TBD,,,,,,,PASS,,
,Positive,Configuration settings window,CPR-29,Setting Probe 2 units to Celsius  when Probe Selection set to Both Probes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Both Probes under Probe Selection -> Choose Temperature under Configuration -> Set Units  as Fahrenheit - >Save Configuration",TBD,,,,,,,PASS,,
,Negative,Configuration settings window,CPR-30,Setting Probe 2 units to Celsius  when Probe Selection set to Probe 1 Only,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Probe 1 Only under Probe Selection -> Try to set Units for Probe 2",Should not able to set Units for Probe 2,,,,,,,PASS,,
,Positive,Configuration settings window,CCM-01,Setting Communication mode to 900 MHz,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select 900 MHz under Communication mode -> Save Configuration",TBD,,,,,,,,,
,Positive,Configuration settings window,CCM-02,Setting Communication mode to Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Wifi CCX under Communication mode -> Save Configuration",TBD,,,,,,,,,
,Positive,Configuration settings window,CCM-03,Setting Communication mode to Wifi ACX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Wifi ACX under Communication mode -> Save Configuration",TBD,,,,,,,,,
,Positive,Configuration settings window,CCM-04,Setting Communication mode to Wifi TCP,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Wifi TCP under Communication mode -> Save Configuration",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-01,Setting Wifi channel Mask when Commuication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode -> Try to set any combinations of channels 1 through 12 under Channel mask ->Save Configuration ",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-02,Setting Wifi channel Mask when Commuication mode = Wifi ACX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi ACX under Communication mode -> Try to set any combinations of channels 1 through 12 under Channel mask ->Save Configuration ",TBD,,,,,,,,,
,Negative,Configuration settings window,CCW-03,Setting Wifi channel Mask when Commuication mode = 900 MHz,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose 900 MHz under Communication mode -> Try to set any combinations of channels 1 through 12 under Channel mask",Should not able to set channels,,,,,,,,,
,Negative,Configuration settings window,CCW-04,Setting Wifi channel Mask when Commuication mode = Wifi TCP,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi TCP under Communication mode -> Try to set any combinations of channels 1 through 12 under Channel mask",Should not able to set channels,,,,,,,,,
,Positive,Configuration settings window,CCW-05,Setting Wifi Profile bitrate = 1 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 1 Mbps under Wifi Settings -> Save Configurations",TBD,,,,In wireshark -> click on packet and bitrate will be shown ,,,,,
,Positive,Configuration settings window,CCW-06,Setting Wifi Profile bitrate = 2 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 2 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-07,Setting Wifi Profile bitrate = 5.5 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 5.5 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-08,Setting Wifi Profile bitrate = 6 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 6 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-09,Setting Wifi Profile bitrate = 9 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 9 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-10,Setting Wifi Profile bitrate = 11 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 11 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-11,Setting Wifi Profile bitrate = 12 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 12 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-12,Setting Wifi Profile bitrate = 18 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 18 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-13,Setting Wifi Profile bitrate = 24 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 24 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-14,Setting Wifi Profile bitrate = 36 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 36 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-15,Setting Wifi Profile bitrate = 48 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 48 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-16,Setting Wifi Profile bitrate = 54 Mbps when Communication mode = Wifi CCX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi CCX under Communication mode
4. Set Profile bitrate as 54 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-17,Setting Wifi Profile bitrate = 1 Mbps when Communication mode = Wifi ACX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi ACX under Communication mode
4. Set Profile bitrate as 1 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-18,Setting Wifi Profile bitrate = 2 Mbps when Communication mode = Wifi ACX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi ACX under Communication mode
4. Set Profile bitrate as 2 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-19,Setting Wifi Profile bitrate = 5.5 Mbps when Communication mode = Wifi ACX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi ACX under Communication mode
4. Set Profile bitrate as 5.5 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-20,Setting Wifi Profile bitrate = 6 Mbps when Communication mode = Wifi ACX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi ACX under Communication mode
4. Set Profile bitrate as 6 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
,Positive,Configuration settings window,CCW-21,Setting Wifi Profile bitrate = 9 Mbps when Communication mode = Wifi ACX,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Choose Wifi ACX under Communication mode
4. Set Profile bitrate as 9 Mbps under Wifi Settings -> Save Configurations",TBD,,,,,,,,,
